pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,lit_15ab_t,lit_rate_15ab_t,illit_15ab_t,pop_15ab_m,lit_15ab_m,lit_rate_15ab_m,illit_15ab_m,pop_15ab_f,lit_15ab_f,lit_rate_15ab_f,illit_15ab_f,pop_15ab_t_u,lit_15ab_t_u,lit_rate_15ab_t_u,illit_15ab_t_u,pop_15ab_m_u,lit_15ab_m_u,lit_rate_15ab_m_u,illit_15ab_m_u,pop_15ab_f_u,lit_15ab_f_u,lit_rate_15ab_f_u,illit_15ab_f_u,pop_15ab_t_r,lit_15ab_t_r,lit_rate_15ab_t_r,illit_15ab_t_r,pop_15ab_m_r,lit_15ab_m_r,lit_rate_15ab_m_r,illit_15ab_m_r,pop_15ab_f_r,lit_15ab_f_r,lit_rate_15ab_f_r,illit_15ab_f_r
MMR001,Kachin,MMR001D001,Myitkyina,MMR001001,Myitkyina,184827,94.2,11344,90050,86900,96.5,3150,106121,97927,92.3,8194,156416,148882,95.2,7534,71032,69065,97.2,1967,85384,79817,93.5,5567,39755,35945,90.4,3810,19018,17835,93.8,1183,20737,18110,87.3,2627
MMR001,Kachin,MMR001D001,Myitkyina,MMR001002,Waingmaw,62427,81.9,13777,36512,31392,86,5120,39692,31035,78.2,8657,16910,14622,86.5,2288,8115,7321,90.2,794,8795,7301,83,1494,59294,47805,80.6,11489,28397,24071,84.8,4326,30897,23734,76.8,7163
MMR001,Kachin,MMR001D001,Myitkyina,MMR001003,Injangyang,688,80.8,163,407,350,86,57,444,338,76.1,106,209,167,79.9,42,106,90,84.9,16,103,77,74.8,26,642,521,81.2,121,301,260,86.4,41,341,261,76.5,80
MMR001,Kachin,MMR001D001,Myitkyina,MMR001004,Tanai,27501,85.8,4544,16570,15006,90.6,1564,15475,12495,80.7,2980,19046,16850,88.5,2196,9845,9143,92.9,702,9201,7707,83.8,1494,12999,10651,81.9,2348,6725,5863,87.2,862,6274,4788,76.3,1486
MMR001,Kachin,MMR001D001,Myitkyina,MMR001005,Chipwi,6607,60.6,4298,5446,3686,67.7,1760,5459,2921,53.5,2538,1663,1463,88,200,785,737,93.9,48,878,726,82.7,152,9242,5144,55.7,4098,4661,2949,63.3,1712,4581,2195,47.9,2386
MMR001,Kachin,MMR001D001,Myitkyina,MMR001006,Tsawlaw,2666,72.8,998,1892,1466,77.5,426,1772,1200,67.7,572,192,161,83.9,31,95,85,89.5,10,97,76,78.4,21,3472,2505,72.1,967,1797,1381,76.9,416,1675,1124,67.1,551
MMR001,Kachin,MMR001D002,Mohnyin,MMR001007,Mohnyin,126016,95.6,5783,58925,57509,97.6,1416,72874,68507,94,4367,37635,35891,95.4,1744,16315,15881,97.3,434,21320,20010,93.9,1310,94164,90125,95.7,4039,42610,41628,97.7,982,51554,48497,94.1,3057
MMR001,Kachin,MMR001D002,Mohnyin,MMR001008,Mogaung,78874,93.4,5615,37809,36168,95.7,1641,46680,42706,91.5,3974,16588,15779,95.1,809,7133,6933,97.2,200,9455,8846,93.6,609,67901,63095,92.9,4806,30676,29235,95.3,1441,37225,33860,91,3365
MMR001,Kachin,MMR001D002,Mohnyin,MMR001009,Hpakant,110307,94.4,6579,63120,60623,96,2497,53766,49684,92.4,4082,27096,26021,96,1075,15222,14819,97.4,403,11874,11202,94.3,672,89790,84286,93.9,5504,47898,45804,95.6,2094,41892,38482,91.9,3410
MMR001,Kachin,MMR001D003,Bhamo,MMR001010,Bhamo,77447,94.7,4299,37787,36574,96.8,1213,43959,40873,93,3086,34327,33269,96.9,1058,15511,15260,98.4,251,18816,18009,95.7,807,47419,44178,93.2,3241,22276,21314,95.7,962,25143,22864,90.9,2279
