pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,hh_t,hh_m,hh_f
MMR001,Kachin,MMR001D001,Myitkyina,MMR001001,Myitkyina,52591,36101,16490
MMR001,Kachin,MMR001D001,Myitkyina,MMR001002,Waingmaw,22860,16034,6826
MMR001,Kachin,MMR001D001,Myitkyina,MMR001003,Injangyang,285,232,53
MMR001,Kachin,MMR001D001,Myitkyina,MMR001004,Tanai,8528,7050,1478
MMR001,Kachin,MMR001D001,Myitkyina,MMR001005,Chipwi,3306,2672,634
MMR001,Kachin,MMR001D001,Myitkyina,MMR001006,Tsawlaw,1073,895,178
MMR001,Kachin,MMR001D002,Mohnyin,MMR001007,Mohnyin,39622,27431,12191
MMR001,Kachin,MMR001D002,Mohnyin,MMR001008,Mogaung,24898,17611,7287
MMR001,Kachin,MMR001D002,Mohnyin,MMR001009,Hpakant,36632,31072,5560
MMR001,Kachin,MMR001D003,Bhamo,MMR001010,Bhamo,24161,16995,7166
MMR001,Kachin,MMR001D003,Bhamo,MMR001011,Shwegu,16621,11562,5059
MMR001,Kachin,MMR001D003,Bhamo,MMR001012,Momauk,12370,8439,3931
MMR001,Kachin,MMR001D003,Bhamo,MMR001013,Mansi,10554,7156,3398
MMR001,Kachin,MMR001D004,Puta-O,MMR001014,Puta-O,10743,8469,2274
MMR001,Kachin,MMR001D004,Puta-O,MMR001015,Sumprabum,479,383,96
MMR001,Kachin,MMR001D004,Puta-O,MMR001016,Machanbaw,1719,1208,511
MMR001,Kachin,MMR001D004,Puta-O,MMR001018,Khaunglanhpu,1711,1502,209
MMR001,Kachin,MMR001D004,Puta-O,MMR001017,Nawngmun,1212,996,216
MMR002,Kayah,MMR002D001,Loikaw,MMR002001,Loikaw,26495,20119,6376
MMR002,Kayah,MMR002D001,Loikaw,MMR002002,Demoso,15347,11927,3420
MMR002,Kayah,MMR002D001,Loikaw,MMR002003,Hpruso,5910,4525,1385
MMR002,Kayah,MMR002D001,Loikaw,MMR002004,Shadaw,1406,1159,247
MMR002,Kayah,MMR002D002,Bawlake,MMR002005,Bawlakhe,2081,1605,476
MMR002,Kayah,MMR002D002,Bawlake,MMR002006,Hpasawng,4733,3851,882
MMR002,Kayah,MMR002D002,Bawlake,MMR002007,Mese,1302,1108,194
MMR003,Kayin,MMR003D001,Hpa-An,MMR003001,Hpa-An,89197,64264,24933
MMR003,Kayin,MMR003D001,Hpa-An,MMR003002,Hlaingbwe,53120,37047,16073
MMR003,Kayin,MMR003D001,Hpa-An,MMR003004,Thandaunggyi,19140,16295,2845
MMR003,Kayin,MMR003D004,Hpapun,MMR003003,Hpapun,6502,3982,2520
MMR003,Kayin,MMR003D002,Myawaddy,MMR003005,Myawaddy,44016,36127,7889
MMR003,Kayin,MMR003D003,Kawkareik,MMR003006,Kawkareik,45498,29874,15624
MMR003,Kayin,MMR003D003,Kawkareik,MMR003007,Kyainseikgyi,50568,41279,9289
MMR004,Chin,MMR004D003,Hakha,MMR004002,Hakha,9917,7554,2363
MMR004,Chin,MMR004D003,Hakha,MMR004003,Thantlang,9782,8060,1722
MMR004,Chin,MMR004D001,Falam,MMR004001,Falam,9626,6978,2648
MMR004,Chin,MMR004D001,Falam,MMR004004,Tedim,14683,10740,3943
MMR004,Chin,MMR004D001,Falam,MMR004005,Tonzang,4941,3948,993
MMR004,Chin,MMR004D002,Mindat,MMR004006,Mindat,8522,6154,2368
MMR004,Chin,MMR004D002,Mindat,MMR004007,Matupi,10157,7742,2415
MMR004,Chin,MMR004D002,Mindat,MMR004008,Kanpetlet,3977,3130,847
MMR004,Chin,MMR004D002,Mindat,MMR004009,Paletwa,19516,15985,3531
MMR005,Sagaing,MMR005D001,Sagaing,MMR005001,Sagaing,65143,49788,15355
MMR005,Sagaing,MMR005D001,Sagaing,MMR005002,Myinmu,25304,19620,5684
MMR005,Sagaing,MMR005D001,Sagaing,MMR005003,Myaung,24262,18072,6190
MMR005,Sagaing,MMR005D002,Shwebo,MMR005004,Shwebo,57297,42948,14349
MMR005,Sagaing,MMR005D002,Shwebo,MMR005005,Khin-U,32624,25709,6915
MMR005,Sagaing,MMR005D002,Shwebo,MMR005006,Wetlet,46712,36592,10120
MMR005,Sagaing,MMR005D002,Shwebo,MMR005007,Kanbalu,61326,49396,11930
MMR005,Sagaing,MMR005D002,Shwebo,MMR005008,Kyunhla,20863,16848,4015
MMR005,Sagaing,MMR005D002,Shwebo,MMR005009,Ye-U,26373,17173,9200
MMR005,Sagaing,MMR005D002,Shwebo,MMR005010,Tabayin,30345,22764,7581
MMR005,Sagaing,MMR005D002,Shwebo,MMR005011,Taze,35937,24386,11551
MMR005,Sagaing,MMR005D003,Monywa,MMR005012,Monywa,75962,56106,19856
MMR005,Sagaing,MMR005D003,Monywa,MMR005013,Budalin,28616,19849,8767
MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,35591,27787,7804
MMR005,Sagaing,MMR005D003,Monywa,MMR005015,Chaung-U,23376,17851,5525
MMR005,Sagaing,MMR005D004,Katha,MMR005020,Katha,31961,22812,9149
MMR005,Sagaing,MMR005D004,Katha,MMR005021,Indaw,23230,15967,7263
MMR005,Sagaing,MMR005D004,Katha,MMR005022,Tigyaing,26389,19327,7062
MMR005,Sagaing,MMR005D004,Katha,MMR005023,Banmauk,18868,14113,4755
MMR005,Sagaing,MMR005D004,Katha,MMR005024,Kawlin,31403,23582,7821
MMR005,Sagaing,MMR005D004,Katha,MMR005025,Wuntho,14205,10566,3639
MMR005,Sagaing,MMR005D004,Katha,MMR005026,Pinlebu,21900,14545,7355
MMR005,Sagaing,MMR005D005,Kale,MMR005027,Kale,72769,54409,18360
MMR005,Sagaing,MMR005D005,Kale,MMR005028,Kalewa,11735,9101,2634
MMR005,Sagaing,MMR005D005,Kale,MMR005029,Mingin,22058,17036,5022
MMR005,Sagaing,MMR005D006,Tamu,MMR005030,Tamu,22591,17913,4678
MMR005,Sagaing,MMR005D007,Mawlaik,MMR005031,Mawlaik,10345,7911,2434
MMR005,Sagaing,MMR005D007,Mawlaik,MMR005032,Paungbyin,20246,15528,4718
MMR005,Sagaing,MMR005D008,Hkamti,MMR005033,Hkamti,7361,5646,1715
MMR005,Sagaing,MMR005D008,Hkamti,MMR005034,Homalin,35743,26614,9129
MMR005,Sagaing,MMR005D008,Hkamti,MMR005035,Lay Shi,1966,1590,376
MMR005,Sagaing,MMR005D008,Hkamti,MMR005036,Lahe,8932,7830,1102
MMR005,Sagaing,MMR005D008,Hkamti,MMR005037,Nanyun,7840,6856,984
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005016,Yinmabin,29532,23154,6378
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005018,Salingyi,26467,19445,7022
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005019,Pale,32362,24142,8220
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005017,Kani,29223,21790,7433
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006001,Dawei,29133,17496,11637
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006002,Launglon,25735,17231,8504
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006003,Thayetchaung,22874,10281,12593
