pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,pop_t,pop_m,pop_f
MMR001,Kachin,MMR001D001,Myitkyina,MMR001001,Myitkyina,317604,154047,163557
MMR001,Kachin,MMR001D001,Myitkyina,MMR001002,Waingmaw,125544,62465,63079
MMR001,Kachin,MMR001D001,Myitkyina,MMR001003,Injangyang,1732,946,786
MMR001,Kachin,MMR001D001,Myitkyina,MMR001004,Tanai,60019,31979,28040
MMR001,Kachin,MMR001D001,Myitkyina,MMR001005,Chipwi,20039,10300,9739
MMR001,Kachin,MMR001D001,Myitkyina,MMR001006,Tsawlaw,6518,3351,3167
MMR001,Kachin,MMR001D002,Mohnyin,MMR001007,Mohnyin,209292,101598,107694
MMR001,Kachin,MMR001D002,Mohnyin,MMR001008,Mogaung,132608,63501,69107
MMR001,Kachin,MMR001D002,Mohnyin,MMR001009,Hpakant,331708,210723,120985
MMR001,Kachin,MMR001D003,Bhamo,MMR001010,Bhamo,135877,66718,69159
MMR001,Kachin,MMR001D003,Bhamo,MMR001011,Shwegu,94784,47174,47610
MMR001,Kachin,MMR001D003,Bhamo,MMR001012,Momauk,62914,31029,31885
MMR001,Kachin,MMR001D003,Bhamo,MMR001013,Mansi,52945,26156,26789
MMR001,Kachin,MMR001D004,Puta-O,MMR001014,Puta-O,61075,30162,30913
MMR001,Kachin,MMR001D004,Puta-O,MMR001015,Sumprabum,2546,1291,1255
MMR001,Kachin,MMR001D004,Puta-O,MMR001016,Machanbaw,8858,4455,4403
MMR001,Kachin,MMR001D004,Puta-O,MMR001018,Khaunglanhpu,11655,5855,5800
MMR001,Kachin,MMR001D004,Puta-O,MMR001017,Nawngmun,7123,3603,3520
MMR002,Kayah,MMR002D001,Loikaw,MMR002001,Loikaw,128401,63109,65292
MMR002,Kayah,MMR002D001,Loikaw,MMR002002,Demoso,79201,38936,40265
MMR002,Kayah,MMR002D001,Loikaw,MMR002003,Hpruso,29374,14437,14937
MMR002,Kayah,MMR002D001,Loikaw,MMR002004,Shadaw,6742,3351,3391
MMR002,Kayah,MMR002D002,Bawlake,MMR002005,Bawlakhe,10996,6072,4924
MMR002,Kayah,MMR002D002,Bawlake,MMR002006,Hpasawng,25594,13906,11688
MMR002,Kayah,MMR002D002,Bawlake,MMR002007,Mese,6319,3402,2917
MMR003,Kayin,MMR003D001,Hpa-An,MMR003001,Hpa-An,421575,203910,217665
MMR003,Kayin,MMR003D001,Hpa-An,MMR003002,Hlaingbwe,265883,129900,135983
MMR003,Kayin,MMR003D001,Hpa-An,MMR003004,Thandaunggyi,96052,48517,47535
MMR003,Kayin,MMR003D004,Hpapun,MMR003003,Hpapun,35085,17983,17102
MMR003,Kayin,MMR003D002,Myawaddy,MMR003005,Myawaddy,210540,107607,102933
MMR003,Kayin,MMR003D003,Kawkareik,MMR003006,Kawkareik,220342,105524,114818
MMR003,Kayin,MMR003D003,Kawkareik,MMR003007,Kyainseikgyi,254849,125686,129163
MMR004,Chin,MMR004D003,Hakha,MMR004002,Hakha,48352,23022,25330
MMR004,Chin,MMR004D003,Hakha,MMR004003,Thantlang,50374,24379,25995
MMR004,Chin,MMR004D001,Falam,MMR004001,Falam,48077,23623,24454
MMR004,Chin,MMR004D001,Falam,MMR004004,Tedim,87623,41927,45696
MMR004,Chin,MMR004D001,Falam,MMR004005,Tonzang,31878,15692,16186
MMR004,Chin,MMR004D002,Mindat,MMR004006,Mindat,42600,19727,22873
MMR004,Chin,MMR004D002,Mindat,MMR004007,Matupi,51351,24151,27200
MMR004,Chin,MMR004D002,Mindat,MMR004008,Kanpetlet,21493,10313,11180
MMR004,Chin,MMR004D002,Mindat,MMR004009,Paletwa,97053,46770,50283
MMR005,Sagaing,MMR005D001,Sagaing,MMR005001,Sagaing,307194,143420,163774
MMR005,Sagaing,MMR005D001,Sagaing,MMR005002,Myinmu,106986,48949,58037
MMR005,Sagaing,MMR005D001,Sagaing,MMR005003,Myaung,106411,47677,58734
MMR005,Sagaing,MMR005D002,Shwebo,MMR005004,Shwebo,266807,123636,143171
MMR005,Sagaing,MMR005D002,Shwebo,MMR005005,Khin-U,146457,67929,78528
MMR005,Sagaing,MMR005D002,Shwebo,MMR005006,Wetlet,196216,90089,106127
MMR005,Sagaing,MMR005D002,Shwebo,MMR005007,Kanbalu,295561,139944,155617
MMR005,Sagaing,MMR005D002,Shwebo,MMR005008,Kyunhla,104087,51125,52962
MMR005,Sagaing,MMR005D002,Shwebo,MMR005009,Ye-U,118290,51422,66868
MMR005,Sagaing,MMR005D002,Shwebo,MMR005010,Tabayin,140815,64396,76419
MMR005,Sagaing,MMR005D002,Shwebo,MMR005011,Taze,165110,72475,92635
MMR005,Sagaing,MMR005D003,Monywa,MMR005012,Monywa,372095,171951,200144
MMR005,Sagaing,MMR005D003,Monywa,MMR005013,Budalin,123539,55106,68433
MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,155769,70734,85035
MMR005,Sagaing,MMR005D003,Monywa,MMR005015,Chaung-U,105955,48456,57499
MMR005,Sagaing,MMR005D004,Katha,MMR005020,Katha,167734,82325,85409
MMR005,Sagaing,MMR005D004,Katha,MMR005021,Indaw,120266,56814,63452
