pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,usuact_10ab_t,usuact_10ab_govemp_t,usuact_10ab_priemp_t,usuact_10ab_empyr_t,usuact_10ab_ownacc_t,usuact_10ab_unpfam_t,usuact_10ab_seekw_t,usuact_10ab_nseekw_t,usuact_10ab_stu_t,usuact_10ab_hhwork_t,usuact_10ab_retir_t,usuact_10ab_ill_t,usuact_10ab_oth_t
MMR001,Kachin,MMR001D001,Myitkyina,MMR001001,Myitkyina,257901,13671,36552,4132,52412,9724,7256,1037,57525,49403,13541,1975,10673
MMR001,Kachin,MMR001D001,Myitkyina,MMR001002,Waingmaw,96930,2154,9155,1181,26042,10501,2642,259,20290,16566,4519,759,2862
MMR001,Kachin,MMR001D001,Myitkyina,MMR001003,Injangyang,1322,80,217,33,305,322,2,0,262,50,30,4,17
MMR001,Kachin,MMR001D001,Myitkyina,MMR001004,Tanai,46706,1423,5126,882,16375,4771,682,115,8113,7057,1324,199,639
MMR001,Kachin,MMR001D001,Myitkyina,MMR001005,Chipwi,14551,957,604,141,3786,2249,719,142,2643,2194,470,126,520
MMR001,Kachin,MMR001D001,Myitkyina,MMR001006,Tsawlaw,4584,120,102,15,1556,1040,66,8,975,438,103,32,129
MMR001,Kachin,MMR001D002,Mohnyin,MMR001007,Mohnyin,168390,6188,19884,3619,39509,15479,3873,466,32583,31151,9848,930,4860
MMR001,Kachin,MMR001D002,Mohnyin,MMR001008,Mogaung,105015,4247,10447,2075,25121,8573,2572,767,20863,22035,5890,633,1792
MMR001,Kachin,MMR001D002,Mohnyin,MMR001009,Hpakant,283658,2657,90379,7884,79339,12303,4125,442,30823,41282,5187,637,8600
MMR001,Kachin,MMR001D003,Bhamo,MMR001010,Bhamo,109372,5195,11754,1461,31643,11170,1898,237,19730,15415,6308,755,3806
MMR001,Kachin,MMR001D003,Bhamo,MMR001011,Shwegu,74947,1948,9448,1669,19200,12638,1185,89,12673,10251,3974,451,1421
MMR001,Kachin,MMR001D003,Bhamo,MMR001012,Momauk,50022,2260,4241,2603,11261,9276,788,82,9066,5848,2957,478,1162
MMR001,Kachin,MMR001D003,Bhamo,MMR001013,Mansi,41868,1081,2480,708,17011,4211,1247,39,7445,4496,1973,278,899
MMR001,Kachin,MMR001D004,Puta-O,MMR001014,Puta-O,45178,1908,4694,174,8493,5376,895,518,11310,9024,2065,450,271
MMR001,Kachin,MMR001D004,Puta-O,MMR001015,Sumprabum,1902,157,124,14,665,85,25,2,459,279,62,10,20
MMR001,Kachin,MMR001D004,Puta-O,MMR001016,Machanbaw,6431,561,303,39,1887,907,86,7,1412,824,232,102,71
MMR001,Kachin,MMR001D004,Puta-O,MMR001018,Khaunglanhpu,9494,124,60,77,1983,1711,118,41,2814,2087,386,17,76
MMR001,Kachin,MMR001D004,Puta-O,MMR001017,Nawngmun,5145,396,221,5,991,638,486,24,1379,747,170,63,25
MMR002,Kayah,MMR002D001,Loikaw,MMR002001,Loikaw,101862,7168,13297,1917,25478,10126,1858,352,18962,14386,5079,721,2518
MMR002,Kayah,MMR002D001,Loikaw,MMR002002,Demoso,58441,1883,4062,616,16684,11297,1280,292,10887,7778,2439,510,713
MMR002,Kayah,MMR002D001,Loikaw,MMR002003,Hpruso,21380,1108,835,121,7443,5741,264,66,3699,1124,636,110,233
MMR002,Kayah,MMR002D001,Loikaw,MMR002004,Shadaw,5023,261,115,29,2472,952,51,9,708,208,148,41,29
MMR002,Kayah,MMR002D002,Bawlake,MMR002005,Bawlakhe,8903,1379,1087,80,2766,786,70,11,1180,1135,263,52,94
MMR002,Kayah,MMR002D002,Bawlake,MMR002006,Hpasawng,19816,881,4773,453,4733,1703,167,57,2976,3088,617,79,289
