pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,hh_t,hh_m,hh_f,pop_hh,pop_ins,popdisab_notdisab_t,popdisab_anydiab_t,disabtype_see_t,disabtype_hear_t,disabtype_walk_t,disabtype_rmbr_t,popdisab_notdisab_m,popdisab_anydiab_m,disabtype_see_m,disabtype_hear_m,disabtype_walk_m,disabtype_rmbr_m,popdisab_notdisab_f,popdisab_anydiab_f,disabtype_see_f,disabtype_hear_f,disabtype_walk_f,disabtype_rmbr_f
MMR001,Kachin,MMR001D001,Myitkyina,MMR001001,Myitkyina,52591,36101,16490,283865,33739,306423,11181,5877,3689,4121,3304,148992,5055,2377,1516,1934,1471,157431,6126,3500,2173,2187,1833
MMR001,Kachin,MMR001D001,Myitkyina,MMR001002,Waingmaw,22860,16034,6826,118747,6797,116534,9010,4934,3433,3177,2993,58325,4140,2068,1548,1455,1313,58209,4870,2866,1885,1722,1680
MMR001,Kachin,MMR001D001,Myitkyina,MMR001003,Injangyang,285,232,53,1420,312,1626,106,49,45,21,33,887,59,30,21,12,14,739,47,19,24,9,19
MMR001,Kachin,MMR001D001,Myitkyina,MMR001004,Tanai,8528,7050,1478,48781,11238,57617,2402,1390,876,635,579,30758,1221,672,423,313,278,26859,1181,718,453,322,301
MMR001,Kachin,MMR001D001,Myitkyina,MMR001005,Chipwi,3306,2672,634,19170,869,19086,953,516,361,454,395,9808,492,235,175,226,175,9278,461,281,186,228,220
MMR001,Kachin,MMR001D001,Myitkyina,MMR001006,Tsawlaw,1073,895,178,6499,19,6099,419,214,152,157,172,3127,224,108,86,77,85,2972,195,106,66,80,87
MMR001,Kachin,MMR001D002,Mohnyin,MMR001007,Mohnyin,39622,27431,12191,195143,14149,202873,6419,3213,1854,2382,2113,98856,2742,1224,745,987,912,104017,3677,1989,1109,1395,1201
MMR001,Kachin,MMR001D002,Mohnyin,MMR001008,Mogaung,24898,17611,7287,126795,5813,129444,3164,1202,1059,1204,958,62072,1429,484,441,561,447,67372,1735,718,618,643,511
MMR001,Kachin,MMR001D002,Mohnyin,MMR001009,Hpakant,36632,31072,5560,169498,162210,322895,8813,5485,2196,2361,2503,206467,4256,2543,976,1157,1087,116428,4557,2942,1220,1204,1416
MMR001,Kachin,MMR001D003,Bhamo,MMR001010,Bhamo,24161,16995,7166,118313,17564,128429,7448,4114,2262,2977,2380,63498,3220,1594,938,1253,956,64931,4228,2520,1324,1724,1424
MMR001,Kachin,MMR001D003,Bhamo,MMR001011,Shwegu,16621,11562,5059,84607,10177,90894,3890,1762,983,1468,1313,45384,1790,732,434,685,602,45510,2100,1030,549,783,711
MMR001,Kachin,MMR001D003,Bhamo,MMR001012,Momauk,12370,8439,3931,58651,4263,59046,3868,2235,1371,1557,1781,29310,1719,920,562,657,761,29736,2149,1315,809,900,1020
MMR001,Kachin,MMR001D003,Bhamo,MMR001013,Mansi,10554,7156,3398,51198,1747,50827,2118,1063,790,765,811,25146,1010,431,346,350,359,25681,1108,632,444,415,452
MMR001,Kachin,MMR001D004,Puta-O,MMR001014,Puta-O,10743,8469,2274,58643,2432,57523,3552,2229,1616,979,1018,28543,1619,966,709,449,417,28980,1933,1263,907,530,601
MMR001,Kachin,MMR001D004,Puta-O,MMR001015,Sumprabum,479,383,96,2405,141,2302,244,140,123,100,123,1176,115,65,52,37,47,1126,129,75,71,63,76
MMR001,Kachin,MMR001D004,Puta-O,MMR001016,Machanbaw,1719,1208,511,8353,505,7930,928,441,390,333,423,3979,476,216,217,158,204,3951,452,225,173,175,219
MMR001,Kachin,MMR001D004,Puta-O,MMR001018,Khaunglanhpu,1711,1502,209,11635,20,10792,863,682,599,502,611,5426,429,335,301,243,291,5366,434,347,298,259,320
MMR001,Kachin,MMR001D004,Puta-O,MMR001017,Nawngmun,1212,996,216,7025,98,6664,459,227,175,233,213,3369,234,109,89,109,101,3295,225,118,86,124,112
MMR002,Kayah,MMR002D001,Loikaw,MMR002001,Loikaw,26495,20119,6376,122223,6178,120694,7707,4457,2335,2941,3029,59446,3663,1978,1076,1378,1418,61248,4044,2479,1259,1563,1611
