pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,hh_t,hh_m,hh_f,pop_hh,pop_ins,idcard_10ab_t,idcard_10ab_citi_t,idcard_10ab_assc_t,idcard_10ab_natu_t,idcard_10ab_natreg_t,idcard_10ab_relig_t,idcard_10ab_temp_t,idcard_10ab_forreg_t,idcard_10ab_forpp_t,idcard_10ab_non_t,idcard_10ab_u_t,idcard_10ab_citi_u_t,idcard_10ab_assc_u_t,idcard_10ab_natu_u_t,idcard_10ab_natreg_u_t,idcard_10ab_relig_u_t,idcard_10ab_temp_u_t,idcard_10ab_forreg_u_t,idcard_10ab_forpp_u_t,idcard_10ab_non_u_t,idcard_10ab_r_t,idcard_10ab_citi_r_t,idcard_10ab_assc_r_t,idcard_10ab_natu_r_t,idcard_10ab_natreg_r_t,idcard_10ab_relig_r_t,idcard_10ab_temp_r_t,idcard_10ab_forreg_r_t,idcard_10ab_forpp_r_t,idcard_10ab_non_r_t
MMR001,Kachin,MMR001D001,Myitkyina,MMR001001,Myitkyina,52591,36101,16490,283865,33739,257901,194513,1156,1692,1476,869,1964,358,111,55762,202847,156429,1125,1584,1011,742,1585,352,105,39914,55054,38084,31,108,465,127,379,6,6,15848
MMR001,Kachin,MMR001D001,Myitkyina,MMR001002,Waingmaw,22860,16034,6826,118747,6797,96930,65925,102,852,910,138,593,175,254,27981,21214,15563,29,228,161,65,80,29,143,4916,75716,50362,73,624,749,73,513,146,111,23065
MMR001,Kachin,MMR001D001,Myitkyina,MMR001003,Injangyang,285,232,53,1420,312,1322,997,0,0,1,0,2,0,0,322,329,272,0,0,0,0,1,0,0,56,993,725,0,0,1,0,1,0,0,266
MMR001,Kachin,MMR001D001,Myitkyina,MMR001004,Tanai,8528,7050,1478,48781,11238,46706,33100,16,99,693,78,236,3,14,12467,29536,21919,15,78,319,42,162,3,3,6995,17170,11181,1,21,374,36,74,0,11,5472
MMR001,Kachin,MMR001D001,Myitkyina,MMR001005,Chipwi,3306,2672,634,19170,869,14551,8118,4,10,96,9,113,92,39,6070,2193,1722,0,2,11,3,9,40,10,396,12358,6396,4,8,85,6,104,52,29,5674
MMR001,Kachin,MMR001D001,Myitkyina,MMR001006,Tsawlaw,1073,895,178,6499,19,4584,3097,0,3,18,3,5,0,0,1458,268,220,0,0,2,1,0,0,0,45,4316,2877,0,3,16,2,5,0,0,1413
MMR001,Kachin,MMR001D002,Mohnyin,MMR001007,Mohnyin,39622,27431,12191,195143,14149,168390,126455,230,470,1570,1270,842,22,31,37500,46984,37251,170,241,317,300,215,17,10,8463,121406,89204,60,229,1253,970,627,5,21,29037
MMR001,Kachin,MMR001D002,Mohnyin,MMR001008,Mogaung,24898,17611,7287,126795,5813,105015,76010,235,286,698,450,410,30,21,26875,20504,15442,131,133,119,97,157,17,6,4402,84511,60568,104,153,579,353,253,13,15,22473
MMR001,Kachin,MMR001D002,Mohnyin,MMR001009,Hpakant,36632,31072,5560,169498,162210,283658,224307,261,1055,3037,679,4594,21,45,49659,57317,47666,47,191,746,181,430,5,7,8044,226341,176641,214,864,2291,498,4164,16,38,41615
MMR001,Kachin,MMR001D003,Bhamo,MMR001010,Bhamo,24161,16995,7166,118313,17564,109372,81655,116,292,752,753,1142,29,42,24591,48481,37458,84,167,203,429,316,21,18,9785,60891,44197,32,125,549,324,826,8,24,14806
MMR001,Kachin,MMR001D003,Bhamo,MMR001011,Shwegu,16621,11562,5059,84607,10177,74947,51912,53,133,273,353,518,10,17,21678,16825,12731,26,55,30,135,33,10,10,3795,58122,39181,27,78,243,218,485,0,7,17883
MMR001,Kachin,MMR001D003,Bhamo,MMR001012,Momauk,12370,8439,3931,58651,4263,50022,38032,91,227,607,201,252,47,68,10497,16442,12868,26,148,79,58,63,1,17,3182,33580,25164,65,79,528,143,189,46,51,7315
MMR001,Kachin,MMR001D003,Bhamo,MMR001013,Mansi,10554,7156,3398,51198,1747,41868,29421,27,41,572,112,284,0,6,11405,6414,5653,2,5,22,15,38,0,1,678,35454,23768,25,36,550,97,246,0,5,10727
MMR001,Kachin,MMR001D004,Puta-O,MMR001014,Puta-O,10743,8469,2274,58643,2432,45178,34405,39,32,168,36,278,1,22,10197,12543,10436,22,14,12,16,6,1,9,2027,32635,23969,17,18,156,20,272,0,13,8170
MMR001,Kachin,MMR001D004,Puta-O,MMR001015,Sumprabum,479,383,96,2405,141,1902,1443,0,3,7,2,31,0,0,416,895,735,0,0,2,1,2,0,0,155,1007,708,0,3,5,1,29,0,0,261
MMR001,Kachin,MMR001D004,Puta-O,MMR001016,Machanbaw,1719,1208,511,8353,505,6431,5591,2,5,7,9,7,1,3,806,1809,1669,1,0,2,1,3,1,0,132,4622,3922,1,5,5,8,4,0,3,674
MMR001,Kachin,MMR001D004,Puta-O,MMR001018,Khaunglanhpu,1711,1502,209,11635,20,9494,7866,4,9,9,0,0,1,5,1600,329,307,0,0,0,0,0,0,0,22,9165,7559,4,9,9,0,0,1,5,1578
MMR001,Kachin,MMR001D004,Puta-O,MMR001017,Nawngmun,1212,996,216,7025,98,5145,4601,0,0,130,0,0,0,0,414,1679,1557,0,0,2,0,0,0,0,120,3466,3044,0,0,128,0,0,0,0,294
MMR002,Kayah,MMR002D001,Loikaw,MMR002001,Loikaw,26495,20119,6376,122223,6178,101862,92337,169,359,771,465,64,14,46,7637,42721,38543,107,176,419,256,26,9,12,3173,59141,53794,62,183,352,209,38,5,34,4464
MMR002,Kayah,MMR002D001,Loikaw,MMR002002,Demoso,15347,11927,3420,78068,1133,58441,52733,41,147,136,84,20,17,8,5255,4227,3965,1,3,9,2,,1,,246,54214,48768,40,144,127,82,20,16,8,5009
MMR002,Kayah,MMR002D001,Loikaw,MMR002003,Hpruso,5910,4525,1385,28318,1056,21380,19343,2,10,65,32,,1,,1927,3328,3179,,,6,12,,,,131,18052,16164,2,10,59,20,,1,,1796
MMR002,Kayah,MMR002D001,Loikaw,MMR002004,Shadaw,1406,1159,247,6550,192,5023,4779,,3,10,11,4,,,216,1310,1269,,,3,4,2,,,32,3713,3510,,3,7,7,2,,,184
MMR002,Kayah,MMR002D002,Bawlake,MMR002005,Bawlakhe,2081,1605,476,9140,1856,8903,8429,0,5,28,24,5,5,6,401,4556,4307,0,4,21,10,4,2,0,208,4347,4122,0,1,7,14,1,3,6,193
MMR002,Kayah,MMR002D002,Bawlake,MMR002006,Hpasawng,4733,3851,882,22823,2771,19816,15993,8,49,360,19,20,10,13,3344,2555,2425,,2,9,10,1,1,,107,17261,13568,8,47,351,9,19,9,13,3237
MMR002,Kayah,MMR002D002,Bawlake,MMR002007,Mese,1302,1108,194,5608,711,4822,4319,2,2,11,25,,2,3,458,850,794,1,,2,11,,,,42,3972,3525,1,2,9,14,,2,3,416
MMR003,Kayin,MMR003D001,Hpa-An,MMR003001,Hpa-An,89197,64264,24933,405848,15727,326967,195766,198,3196,4745,1871,1926,13,143,119109,62357,44861,20,395,1414,409,342,2,50,14864,264610,150905,178,2801,3331,1462,1584,11,93,104245
MMR003,Kayin,MMR003D001,Hpa-An,MMR003002,Hlaingbwe,53120,37047,16073,259345,6538,198239,100126,70,719,1798,719,524,9,100,94174,12825,8878,4,64,292,44,59,0,0,3484,185414,91248,66,655,1506,675,465,9,100,90690
MMR003,Kayin,MMR003D001,Hpa-An,MMR003004,Thandaunggyi,19140,16295,2845,94357,1695,71253,52740,44,177,806,89,603,0,12,16782,16691,14586,10,27,86,13,65,0,0,1904,54562,38154,34,150,720,76,538,0,12,14878
MMR003,Kayin,MMR003D004,Hpapun,MMR003003,Hpapun,6502,3982,2520,32719,2366,26788,15265,10,42,383,80,196,0,1,10811,13378,8283,6,31,316,48,186,0,1,4507,13410,6982,4,11,67,32,10,0,0,6304
MMR003,Kayin,MMR003D002,Myawaddy,MMR003005,Myawaddy,44016,36127,7889,201246,9294,163287,94293,114,435,2433,772,1339,13,66,63822,92306,60347,55,272,1701,508,756,5,26,28636,70981,33946,59,163,732,264,583,8,40,35186
MMR003,Kayin,MMR003D003,Kawkareik,MMR003006,Kawkareik,45498,29874,15624,213940,6402,169494,95535,76,649,4265,910,1635,19,60,66345,34982,22625,17,232,617,182,959,16,8,10326,134512,72910,59,417,3648,728,676,3,52,56019
MMR003,Kayin,MMR003D003,Kawkareik,MMR003007,Kyainseikgyi,50568,41279,9289,246809,8040,192637,96299,112,393,3209,769,1298,42,88,90427,32300,21467,34,115,607,244,386,7,13,9427,160337,74832,78,278,2602,525,912,35,75,81000
MMR004,Chin,MMR004D003,Hakha,MMR004002,Hakha,9917,7554,2363,46519,1833,37054,29136,15,12,64,33,108,2,24,7660,19968,16410,11,5,13,31,21,1,17,3459,17086,12726,4,7,51,2,87,1,7,4201
MMR004,Chin,MMR004D003,Hakha,MMR004003,Thantlang,9782,8060,1722,49949,425,36475,28267,6,6,251,11,30,6,23,7875,5983,5151,0,0,19,6,7,1,0,799,30492,23116,6,6,232,5,23,5,23,7076
MMR004,Chin,MMR004D001,Falam,MMR004001,Falam,9626,6978,2648,46387,1690,36162,28112,14,16,69,19,33,5,11,7883,10218,8404,6,1,11,16,3,0,0,1777,25944,19708,8,15,58,3,30,5,11,6106
MMR004,Chin,MMR004D001,Falam,MMR004004,Tedim,14683,10740,3943,86855,768,63437,46183,15,20,276,18,25,0,29,16871,10628,9203,1,2,11,0,0,0,0,1411,52809,36980,14,18,265,18,25,0,29,15460
MMR004,Chin,MMR004D001,Falam,MMR004005,Tonzang,4941,3948,993,31327,551,22255,15438,7,12,59,7,59,6,8,6659,3847,3163,0,1,0,3,0,0,0,680,18408,12275,7,11,59,4,59,6,8,5979
MMR004,Chin,MMR004D002,Mindat,MMR004006,Mindat,8522,6154,2368,41561,1039,29724,23614,2,27,193,78,11,1,11,5787,8734,7508,1,0,14,27,0,1,0,1183,20990,16106,1,27,179,51,11,0,11,4604
MMR004,Chin,MMR004D002,Mindat,MMR004007,Matupi,10157,7742,2415,50520,831,37680,30022,15,32,60,9,65,1,23,7453,8261,7261,1,3,4,7,4,1,10,970,29419,22761,14,29,56,2,61,0,13,6483
MMR004,Chin,MMR004D002,Mindat,MMR004008,Kanpetlet,3977,3130,847,20726,767,14788,11173,4,9,18,34,24,1,18,3507,3154,2645,0,0,1,10,1,0,17,480,11634,8528,4,9,17,24,23,1,1,3027
MMR004,Chin,MMR004D002,Mindat,MMR004009,Paletwa,19516,15985,3531,95265,1788,69891,44368,39,108,502,108,627,5,97,24037,7460,5665,0,31,37,19,60,1,61,1586,62431,38703,39,77,465,89,567,4,36,22451
MMR005,Sagaing,MMR005D001,Sagaing,MMR005001,Sagaing,65143,49788,15355,280460,26734,261304,191806,87,666,3144,7063,242,26,103,58167,69889,54461,27,112,315,1557,98,24,41,13254,191415,137345,60,554,2829,5506,144,2,62,44913
MMR005,Sagaing,MMR005D001,Sagaing,MMR005002,Myinmu,25304,19620,5684,104622,2364,91463,70261,30,243,1813,670,62,5,28,18351,14033,11375,11,27,37,160,9,4,0,2410,77430,58886,19,216,1776,510,53,1,28,15941
MMR005,Sagaing,MMR005D001,Sagaing,MMR005003,Myaung,24262,18072,6190,102391,4020,90323,68523,27,134,1201,503,42,3,25,19865,6686,5591,0,3,53,50,2,0,0,987,83637,62932,27,131,1148,453,40,3,25,18878
MMR005,Sagaing,MMR005D002,Shwebo,MMR005004,Shwebo,57297,42948,14349,257557,9250,226001,157677,116,399,1970,1907,486,7,66,63373,68035,47853,71,168,544,993,81,3,25,18297,157966,109824,45,231,1426,914,405,4,41,45076
MMR005,Sagaing,MMR005D002,Shwebo,MMR005005,Khin-U,32624,25709,6915,143497,2960,122175,88751,24,207,1026,618,196,0,28,31325,9670,7543,1,12,73,61,26,0,2,1952,112505,81208,23,195,953,557,170,0,26,29373
MMR005,Sagaing,MMR005D002,Shwebo,MMR005006,Wetlet,46712,36592,10120,192658,3558,165832,115233,44,379,1975,968,234,30,36,46933,9355,7218,2,14,53,91,7,17,1,1952,156477,108015,42,365,1922,877,227,13,35,44981
MMR005,Sagaing,MMR005D002,Shwebo,MMR005007,Kanbalu,61326,49396,11930,290216,5345,239997,157115,83,352,776,1145,2285,6,73,78162,20879,15477,18,46,59,141,280,0,6,4852,219118,141638,65,306,717,1004,2005,6,67,73310
MMR005,Sagaing,MMR005D002,Shwebo,MMR005008,Kyunhla,20863,16848,4015,100853,3234,84148,65442,5,48,74,313,181,2,4,18079,10271,8899,1,14,2,55,25,0,1,1274,73877,56543,4,34,72,258,156,2,3,16805
MMR005,Sagaing,MMR005D002,Shwebo,MMR005009,Ye-U,26373,17173,9200,113057,5233,97378,71402,33,141,998,627,140,5,29,24003,17821,12940,9,39,113,221,6,5,19,4469,79557,58462,24,102,885,406,134,0,10,19534
MMR005,Sagaing,MMR005D002,Shwebo,MMR005010,Tabayin,30345,22764,7581,137613,3202,114448,82764,22,129,683,497,71,3,17,30262,3604,3104,0,1,5,26,0,0,0,468,110844,79660,22,128,678,471,71,3,17,29794
MMR005,Sagaing,MMR005D002,Shwebo,MMR005011,Taze,35937,24386,11551,162314,2796,133715,96249,24,145,1059,628,199,1,11,35399,12047,9533,2,2,40,24,6,0,1,2439,121668,86716,22,143,1019,604,193,1,10,32960
MMR005,Sagaing,MMR005D003,Monywa,MMR005012,Monywa,75962,56106,19856,349622,22473,318078,234953,142,498,3190,4327,220,18,94,74636,178392,133760,86,238,1212,3394,131,15,74,39482,139686,101193,56,260,1978,933,89,3,20,35154
MMR005,Sagaing,MMR005D003,Monywa,MMR005013,Budalin,28616,19849,8767,119492,4047,101921,80887,12,80,1163,671,26,0,14,19068,4538,3968,0,2,7,102,2,0,0,457,97383,76919,12,78,1156,569,24,0,14,18611
MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,35591,27787,7804,152641,3128,130318,90608,34,166,1766,700,65,1,40,36938,7980,6698,8,0,47,49,12,0,3,1163,122338,83910,26,166,1719,651,53,1,37,35775
MMR005,Sagaing,MMR005D003,Monywa,MMR005015,Chaung-U,23376,17851,5525,101825,4130,89626,66641,30,153,513,652,91,2,15,21529,18721,14356,1,18,112,258,31,1,2,3942,70905,52285,29,135,401,394,60,1,13,17587
MMR005,Sagaing,MMR005D004,Katha,MMR005020,Katha,31961,22812,9149,160711,7023,132447,88698,89,326,845,717,437,14,30,41291,22351,17390,48,124,147,257,111,8,9,4257,110096,71308,41,202,698,460,326,6,21,37034
MMR005,Sagaing,MMR005D004,Katha,MMR005021,Indaw,23230,15967,7263,116826,3440,94981,79532,42,127,269,483,140,3,13,14372,7247,6533,17,23,27,23,1,3,1,619,87734,72999,25,104,242,460,139,0,12,13753
