pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,hh_t,hh_m,hh_f,pop_hh,pop_ins,usuact_10ab_t,usuact_10ab_govemp_t,usuact_10ab_priemp_t,usuact_10ab_empyr_t,usuact_10ab_ownacc_t,usuact_10ab_unpfam_t,usuact_10ab_seekw_t,usuact_10ab_nseekw_t,usuact_10ab_stu_t,usuact_10ab_hhwork_t,usuact_10ab_retir_t,usuact_10ab_ill_t,usuact_10ab_oth_t,usuact_10ab_m,usuact_10ab_govemp_m,usuact_10ab_priemp_m,usuact_10ab_empyr_m,usuact_10ab_ownacc_m,usuact_10ab_unpfam_m,usuact_10ab_seekw_m,usuact_10ab_nseekw_m,usuact_10ab_stu_m,usuact_10ab_hhwork_m,usuact_10ab_retir_m,usuact_10ab_ill_m,usuact_10ab_oth_m,usuact_10ab_f,usuact_10ab_govemp_f,usuact_10ab_priemp_f,usuact_10ab_empyr_f,usuact_10ab_ownacc_f,usuact_10ab_unpfam_f,usuact_10ab_seekw_f,usuact_10ab_nseekw_f,usuact_10ab_stu_f,usuact_10ab_hhwork_f,usuact_10ab_retir_f,usuact_10ab_ill_f,usuact_10ab_oth_f,idcard_10ab_t,idcard_10ab_citi_t,idcard_10ab_assc_t,idcard_10ab_natu_t,idcard_10ab_natreg_t,idcard_10ab_relig_t,idcard_10ab_temp_t,idcard_10ab_forreg_t,idcard_10ab_forpp_t,idcard_10ab_non_t
MMR001,Kachin,MMR001D001,Myitkyina,MMR001001,Myitkyina,52591,36101,16490,283865,33739,257901,13671,36552,4132,52412,9724,7256,1037,57525,49403,13541,1975,10673,123780,8620,23785,2953,34023,5147,4691,703,27397,3486,5153,1019,6803,134121,5051,12767,1179,18389,4577,2565,334,30128,45917,8388,956,3870,257901,194513,1156,1692,1476,869,1964,358,111,55762
MMR001,Kachin,MMR001D001,Myitkyina,MMR001002,Waingmaw,22860,16034,6826,118747,6797,96930,2154,9155,1181,26042,10501,2642,259,20290,16566,4519,759,2862,48097,1258,6524,861,17857,4918,1700,156,9831,1311,1569,373,1739,48833,896,2631,320,8185,5583,942,103,10459,15255,2950,386,1123,96930,65925,102,852,910,138,593,175,254,27981
MMR001,Kachin,MMR001D001,Myitkyina,MMR001003,Injangyang,285,232,53,1420,312,1322,80,217,33,305,322,2,0,262,50,30,4,17,732,56,184,31,219,89,1,0,129,2,9,4,8,590,24,33,2,86,233,1,0,133,48,21,0,9,1322,997,0,0,1,0,2,0,0,322
MMR001,Kachin,MMR001D001,Myitkyina,MMR001004,Tanai,8528,7050,1478,48781,11238,46706,1423,5126,882,16375,4771,682,115,8113,7057,1324,199,639,25156,1061,4030,705,11367,2097,470,91,4038,328,446,101,422,21550,362,1096,177,5008,2674,212,24,4075,6729,878,98,217,46706,33100,16,99,693,78,236,3,14,12467
MMR001,Kachin,MMR001D001,Myitkyina,MMR001005,Chipwi,3306,2672,634,19170,869,14551,957,604,141,3786,2249,719,142,2643,2194,470,126,520,7612,772,451,91,2446,1116,458,79,1416,252,174,61,296,6939,185,153,50,1340,1133,261,63,1227,1942,296,65,224,14551,8118,4,10,96,9,113,92,39,6070
MMR001,Kachin,MMR001D001,Myitkyina,MMR001006,Tsawlaw,1073,895,178,6499,19,4584,120,102,15,1556,1040,66,8,975,438,103,32,129,2361,67,74,11,929,555,56,5,491,29,39,17,88,2223,53,28,4,627,485,10,3,484,409,64,15,41,4584,3097,0,3,18,3,5,0,0,1458
MMR001,Kachin,MMR001D002,Mohnyin,MMR001007,Mohnyin,39622,27431,12191,195143,14149,168390,6188,19884,3619,39509,15479,3873,466,32583,31151,9848,930,4860,80718,3296,14950,2694,26641,7394,2182,314,14963,926,3327,450,3581,87672,2892,4934,925,12868,8085,1691,152,17620,30225,6521,480,1279,168390,126455,230,470,1570,1270,842,22,31,37500
MMR001,Kachin,MMR001D002,Mohnyin,MMR001008,Mogaung,24898,17611,7287,126795,5813,105015,4247,10447,2075,25121,8573,2572,767,20863,22035,5890,633,1792,49317,2774,7631,1590,16769,4630,1665,508,9612,608,1930,322,1278,55698,1473,2816,485,8352,3943,907,259,11251,21427,3960,311,514,105015,76010,235,286,698,450,410,30,21,26875
MMR001,Kachin,MMR001D002,Mohnyin,MMR001009,Hpakant,36632,31072,5560,169498,162210,283658,2657,90379,7884,79339,12303,4125,442,30823,41282,5187,637,8600,186240,1453,79664,6557,63327,7208,3085,332,15432,1315,1756,308,5803,97418,1204,10715,1327,16012,5095,1040,110,15391,39967,3431,329,2797,283658,224307,261,1055,3037,679,4594,21,45,49659
MMR001,Kachin,MMR001D003,Bhamo,MMR001010,Bhamo,24161,16995,7166,118313,17564,109372,5195,11754,1461,31643,11170,1898,237,19730,15415,6308,755,3806,53181,3196,8041,997,18706,5316,1191,158,9363,859,2299,391,2664,56191,1999,3713,464,12937,5854,707,79,10367,14556,4009,364,1142,109372,81655,116,292,752,753,1142,29,42,24591
MMR001,Kachin,MMR001D003,Bhamo,MMR001011,Shwegu,16621,11562,5059,84607,10177,74947,1948,9448,1669,19200,12638,1185,89,12673,10251,3974,451,1421,37109,1080,6560,1162,13082,5361,598,61,6089,307,1433,240,1136,37838,868,2888,507,6118,7277,587,28,6584,9944,2541,211,285,74947,51912,53,133,273,353,518,10,17,21678
MMR001,Kachin,MMR001D003,Bhamo,MMR001012,Momauk,12370,8439,3931,58651,4263,50022,2260,4241,2603,11261,9276,788,82,9066,5848,2957,478,1162,24544,1612,2762,2027,6848,3965,483,50,4441,437,996,223,700,25478,648,1479,576,4413,5311,305,32,4625,5411,1961,255,462,50022,38032,91,227,607,201,252,47,68,10497
MMR001,Kachin,MMR001D003,Bhamo,MMR001013,Mansi,10554,7156,3398,51198,1747,41868,1081,2480,708,17011,4211,1247,39,7445,4496,1973,278,899,20531,622,1701,430,10029,1732,749,19,3661,276,683,157,472,21337,459,779,278,6982,2479,498,20,3784,4220,1290,121,427,41868,29421,27,41,572,112,284,0,6,11405
MMR001,Kachin,MMR001D004,Puta-O,MMR001014,Puta-O,10743,8469,2274,58643,2432,45178,1908,4694,174,8493,5376,895,518,11310,9024,2065,450,271,22119,1302,2940,114,6228,3099,572,346,5455,856,814,204,189,23059,606,1754,60,2265,2277,323,172,5855,8168,1251,246,82,45178,34405,39,32,168,36,278,1,22,10197
MMR001,Kachin,MMR001D004,Puta-O,MMR001015,Sumprabum,479,383,96,2405,141,1902,157,124,14,665,85,25,2,459,279,62,10,20,968,98,106,9,370,63,19,2,210,55,20,2,14,934,59,18,5,295,22,6,0,249,224,42,8,6,1902,1443,0,3,7,2,31,0,0,416
MMR001,Kachin,MMR001D004,Puta-O,MMR001016,Machanbaw,1719,1208,511,8353,505,6431,561,303,39,1887,907,86,7,1412,824,232,102,71,3215,360,240,27,1248,377,59,3,674,30,93,57,47,3216,201,63,12,639,530,27,4,738,794,139,45,24,6431,5591,2,5,7,9,7,1,3,806
MMR001,Kachin,MMR001D004,Puta-O,MMR001018,Khaunglanhpu,1711,1502,209,11635,20,9494,124,60,77,1983,1711,118,41,2814,2087,386,17,76,4815,88,50,64,1703,1091,61,23,1427,83,179,8,38,4679,36,10,13,280,620,57,18,1387,2004,207,9,38,9494,7866,4,9,9,0,0,1,5,1600
MMR001,Kachin,MMR001D004,Puta-O,MMR001017,Nawngmun,1212,996,216,7025,98,5145,396,221,5,991,638,486,24,1379,747,170,63,25,2608,247,160,2,802,163,337,13,691,67,83,25,18,2537,149,61,3,189,475,149,11,688,680,87,38,7,5145,4601,0,0,130,0,0,0,0,414
MMR002,Kayah,MMR002D001,Loikaw,MMR002001,Loikaw,26495,20119,6376,122223,6178,101862,7168,13297,1917,25478,10126,1858,352,18962,14386,5079,721,2518,49727,3960,9622,1416,14943,4733,1113,227,8849,480,2233,399,1752,52135,3208,3675,501,10535,5393,745,125,10113,13906,2846,322,766,101862,92337,169,359,771,465,64,14,46,7637
MMR002,Kayah,MMR002D001,Loikaw,MMR002002,Demoso,15347,11927,3420,78068,1133,58441,1883,4062,616,16684,11297,1280,292,10887,7778,2439,510,713,28253,990,2689,428,9929,5452,765,178,5229,766,1099,253,475,30188,893,1373,188,6755,5845,515,114,5658,7012,1340,257,238,58441,52733,41,147,136,84,20,17,8,5255
MMR002,Kayah,MMR002D001,Loikaw,MMR002003,Hpruso,5910,4525,1385,28318,1056,21380,1108,835,121,7443,5741,264,66,3699,1124,636,110,233,10427,807,634,61,3802,2495,158,51,1781,192,273,55,118,10953,301,201,60,3641,3246,106,15,1918,932,363,55,115,21380,19343,2,10,65,32,,1,,1927
MMR002,Kayah,MMR002D001,Loikaw,MMR002004,Shadaw,1406,1159,247,6550,192,5023,261,115,29,2472,952,51,9,708,208,148,41,29,2513,156,100,13,1320,415,30,7,343,29,54,20,26,2510,105,15,16,1152,537,21,2,365,179,94,21,3,5023,4779,,3,10,11,4,,,216
MMR002,Kayah,MMR002D002,Bawlake,MMR002005,Bawlakhe,2081,1605,476,9140,1856,8903,1379,1087,80,2766,786,70,11,1180,1135,263,52,94,4999,1099,786,66,1805,371,40,6,554,45,120,25,82,3904,280,301,14,961,415,30,5,626,1090,143,27,12,8903,8429,0,5,28,24,5,5,6,401
MMR002,Kayah,MMR002D002,Bawlake,MMR002006,Hpasawng,4733,3851,882,22823,2771,19816,881,4773,453,4733,1703,167,57,2976,3088,617,79,289,10984,625,3787,369,3238,818,110,40,1434,98,251,38,176,8832,256,986,84,1495,885,57,17,1542,2990,366,41,113,19816,15993,8,49,360,19,20,10,13,3344
MMR002,Kayah,MMR002D002,Bawlake,MMR002007,Mese,1302,1108,194,5608,711,4822,507,631,32,1182,831,67,4,697,631,110,18,112,2615,414,445,21,897,309,48,1,323,15,46,15,81,2207,93,186,11,285,522,19,3,374,616,64,3,31,4822,4319,2,2,11,25,,2,3,458
MMR003,Kayin,MMR003D001,Hpa-An,MMR003001,Hpa-An,89197,64264,24933,405848,15727,326967,11405,32262,4604,66389,23401,13324,2632,56179,68931,19556,3289,24995,155780,6413,22870,3331,44723,10064,9089,1764,27015,3217,8289,1717,17288,171187,4992,9392,1273,21666,13337,4235,868,29164,65714,11267,1572,7707,326967,195766,198,3196,4745,1871,1926,13,143,119109
MMR003,Kayin,MMR003D001,Hpa-An,MMR003002,Hlaingbwe,53120,37047,16073,259345,6538,198239,3550,15279,2156,36079,18085,12769,4520,28659,47060,12450,2044,15588,95378,2230,11497,1734,27023,9430,8613,2888,12933,1779,5321,1060,10870,102861,1320,3782,422,9056,8655,4156,1632,15726,45281,7129,984,4718,198239,100126,70,719,1798,719,524,9,100,94174
