"pcode_st","name_st","sex","total","for_employment","for_education","for_marriage","followed_family","for_conflict","for_other_reason"
"MMR","UNION","Both sexes","9391126","3223673","212257","1478568","3840548","73853","562227"
"MMR","UNION","Male","4453017","2089759","101540","536990","1418004","34629","272095"
"MMR","UNION","Female","4938109","1133914","110717","941578","2422544","39224","290132"
"MMR001","Kachin","Both sexes","296766","87806","17723","47383","114441","14847","14566"
"MMR001","Kachin","Male","136014","57467","8355","11765","44781","7089","6557"
"MMR001","Kachin","Female","160752","30339","9368","35618","69660","7758","8009"
"MMR002","Kayah","Both sexes","45435","13980","1860","7965","18345","1270","2015"
"MMR002","Kayah","Male","21226","9343","820","2346","7178","627","912"
"MMR002","Kayah","Female","24209","4637","1040","5619","11167","643","1103"
"MMR003","Kayin","Both sexes","177234","55153","4971","29509","71221","8875","7505"
"MMR003","Kayin","Male","86658","35802","2323","13226","27416","4385","3506"
"MMR003","Kayin","Female","90576","19351","2648","16283","43805","4490","3999"
"MMR004","Chin","Both sexes","93450","27398","5377","9708","45306","247","5414"
"MMR004","Chin","Male","42285","18339","2705","1784","16774","94","2589"
"MMR004","Chin","Female","51165","9059","2672","7924","28532","153","2825"
"MMR005","Sagaing","Both sexes","713951","290536","17398","151079","225039","1573","28326"
"MMR005","Sagaing","Male","348486","183471","8655","61159","82188","654","12359"
"MMR005","Sagaing","Female","365465","107065","8743","89920","142851","919","15967"
"MMR006","Tanintharyi","Both sexes","225552","81046","7433","31093","96345","1256","8379"
"MMR006","Tanintharyi","Male","110584","54665","3443","11570","36716","578","3612"
"MMR006","Tanintharyi","Female","114968","26381","3990","19523","59629","678","4767"
"MMR111","Bago","Both sexes","790309","288818","14148","160450","293483","2499","30911"
"MMR111","Bago","Male","368741","187250","6597","55985","104561","1050","13298"
"MMR111","Bago","Female","421568","101568","7551","104465","188922","1449","17613"
"MMR009","Magway","Both sexes","610996","261638","11417","111392","201136","1114","24299"
"MMR009","Magway","Male","295150","166440","5530","42578","69838","467","10297"
"MMR009","Magway","Female","315846","95198","5887","68814","131298","647","14002"
"MMR010","Mandalay","Both sexes","1182377","452066","19711","185532","458000","4256","62812"
"MMR010","Mandalay","Male","572342","294984","9759","70502","165969","1873","29255"
"MMR010","Mandalay","Female","610035","157082","9952","115030","292031","2383","33557"
"MMR011","Mon","Both sexes","342189","122628","7169","58804","138947","2257","12384"
"MMR011","Mon","Male","160224","77584","3277","22500","50473","991","5399"
"MMR011","Mon","Female","181965","45044","3892","36304","88474","1266","6985"
"MMR012","Rakhine","Both sexes","291815","108597","8490","44745","113529","4653","11801"
"MMR012","Rakhine","Male","138306","69540","4328","16484","40756","2083","5115"
"MMR012","Rakhine","Female","153509","39057","4162","28261","72773","2570","6686"
"MMR013","Yangon","Both sexes","2480606","624323","45502","297223","1244692","6254","262612"
"MMR013","Yangon","Male","1148798","414799","21530","109297","463196","2772","137204"
"MMR013","Yangon","Female","1331808","209524","23972","187926","781496","3482","125408"
"MMR222","Shan","Both sexes","729682","250992","24262","111248","291188","19070","32922"
"MMR222","Shan","Male","344492","164207","11438","31314","112083","9368","16082"
"MMR222","Shan","Female","385190","86785","12824","79934","179105","9702","16840"
"MMR017","Ayeyarwady","Both sexes","1203624","481318","22602","202817","447935","3671","45281"
"MMR017","Ayeyarwady","Male","576953","303891","10661","75886","165312","1609","19594"
"MMR017","Ayeyarwady","Female","626671","177427","11941","126931","282623","2062","25687"
"MMR018","Nay Pyi Taw","Both sexes","160593","59341","2523","26069","63843","240","8577"
"MMR018","Nay Pyi Taw","Male","77512","40206","1253","9004","22978","95","3976"
"MMR018","Nay Pyi Taw","Female","83081","19135","1270","17065","40865","145","4601"
"MMR","Outside Myanmar","Both sexes","46547","18033","1671","3551","17098","1771","4423"
"MMR","Outside Myanmar","Male","25246","11771","866","1590","7785","894","2340"
"MMR","Outside Myanmar","Female","21301","6262","805","1961","9313","877","2083"
