pcode,region,total,buddhist,christian,islam,hindu,animist,other_relgiion,no_religion,non_enumerated_pop
MMR,UNION,50279900,45185449,3172479,1147495,252763,408045,82825,30844,1206353
MMR001,Kachin,1642841,1050610,555037,26789,5738,3972,474,221,46600
MMR002,Kayah,286627,142896,131237,3197,269,5518,3451,59,
MMR003,Kayin,1504326,1271766,142875,68459,9585,1340,10194,107,69753
MMR004,Chin,478801,62079,408730,690,106,1830,5292,74,
MMR005,Sagaing,5325347,4909960,349377,58987,2793,89,2928,1213,
MMR006,Tanintharyi,1408401,1231719,100758,72074,2386,576,567,321,
MMR111,Bago,4867373,4550698,142528,56753,100166,4296,12687,245,
MMR009,Magway,3917055,3870316,27015,12311,2318,3353,1467,275,
MMR010,Mandalay,6165723,5898160,65061,187785,11689,188,2301,539,
MMR011,Mon,2054393,1901667,10791,119086,21076,109,1523,141,
MMR012,Rakhine,2098807,2019370,36791,28731,9791,2711,759,654,1090000
MMR013,Yangon,7360703,6697673,232249,345612,75474,512,7260,1923,
MMR222,Shan,5824432,4755834,569389,58918,5416,383072,27036,24767,
MMR017,Ayeyarwady,6184829,5699665,388348,84073,5440,459,6600,244,
MMR018,Nay Pyi Taw,1160242,1123036,12293,24030,516,20,286,61,
