Country Name,Country Code,Series Name,Series Code,2007,2008,2009,2010,2011,2012,2013,2014,2015
Myanmar,MMR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,19.992,19.5216,19.0512,18.5808,18.1104,17.64,17.1758,16.7116,16.2474
Myanmar,MMR,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,43.32276601,40.27509564,38.10812061,36.85307575,32.4961825,30.5901997,29.53372536,27.82971631,26.74872843
Myanmar,MMR,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,3.313060818,..
Myanmar,MMR,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,63.9,..,..,70.6,..,..,..,..,..
Myanmar,MMR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.253947499,0.19208093,0.199162639,0.241924262,0.274292955,0.246147003,0.237874069,..,..
Myanmar,MMR,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,41,..,..,46,..,..,..,..,..
Myanmar,MMR,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,20.19841977,18.49860679,21.16140239,25.21625131,27.61128316,22.71904501,26.75181346,28.93760186,33.23679224
Myanmar,MMR,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,87.55628879,92.12227018,97.1973278,121.5858044,151.020392,152.6534766,164.4652749,..,..
Myanmar,MMR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,307.9130411,294.8503083,277.5200373,269.9472579,273.8215532,297.0941161,312.7560486,..,..
Myanmar,MMR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,0.138180683,0.116556167,0.102712751,0.109123505,0.099464913,11.49836108,19.63509832,20.09033989,20.78017186
Myanmar,MMR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,7668353000,7526241000,8104248000,8216712000,8191699000,7840286000,7251180000,6266049000,6401183000
Myanmar,MMR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.585,2.517,2.449,2.386,2.33,2.28,2.239,2.204,..
Myanmar,MMR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,709922015.3,863880447.3,1078972201,901133534.9,2519813313,1333856137,2254603965,2175015284,4083839112
Myanmar,MMR,Forest area (sq. km),AG.LND.FRST.K2,327018,323922,320826,317730,312266,306802,301338,295874,290410
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,20182477481,31862554102,36906181381,49540813342,59977326086,59731122170,60132854537,65574726566,62600906116
Myanmar,MMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,11.99143524,10.25530539,10.5500091,9.634439452,5.591482378,7.332670447,8.426001025,7.991243344,7.294031845
Myanmar,MMR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,350,460,630,830,990,1120,1190,1200,1160
Myanmar,MMR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2590,2900,3210,3530,3780,3980,4340,4680,4930
Myanmar,MMR,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,17543436338,23663978368,32236608829,42923215875,51386929847,58908742523,63229548186,64135025268,62401082889
Myanmar,MMR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1.31553E+11,1.47886E+11,1.64735E+11,1.82821E+11,1.97034E+11,2.09088E+11,2.29801E+11,2.50071E+11,2.65764E+11
Myanmar,MMR,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,..,..,..,..,..,..,..,..,..
Myanmar,MMR,"Gross enrollment ratio, primary, both sexes (%)",SE.PRM.ENRR,97.71810913,98.45777893,97.04405975,96.72332764,..,..,..,99.65828705,..
Myanmar,MMR,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,46.25931168,48.58456039,47.96503067,48.14157104,..,..,..,51.29608917,..
Myanmar,MMR,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,..,0.001822921,..,..,..,..,..
Myanmar,MMR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,81,82,87,88,88,84,86,86,86
Myanmar,MMR,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,0.079505958,0.066547424,0.064704888,0.065879666,0.100901601,10.8862545,18.94566065,22.1684723,26.53659524
Myanmar,MMR,Improved sanitation facilities (% of population with access),SH.STA.ACSN,72.3,73.8,75.2,76.6,78,79.4,79.5,79.5,79.6
Myanmar,MMR,Improved water source (% of population with access),SH.H2O.SAFE.ZS,74.6,75.8,76.9,78.1,79.2,80.3,80.4,80.5,80.6
Myanmar,MMR,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..
Myanmar,MMR,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,20.40912967,22.66581542,24.5320051,26.46806427,31.29164883,32.3730208,32.3622196,34.48959134,34.544746
Myanmar,MMR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,23.64390812,13.61865795,4.878599246,7.043211893,10.25457667,3.130096953,4.378070843,4.173538117,3.938935162
Myanmar,MMR,Internet users (per 100 people),IT.NET.USER.P2,0.217128445,0.22,0.22,0.25,0.98,1.44,1.8,11.52,21.8
Myanmar,MMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.09368293,64.36760976,64.64356098,64.9174878,65.18090244,65.42778049,65.65409756,65.85785366,..
Myanmar,MMR,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,47.06706602,34.95771232,29.8301249,27.09026981,30.43985318,30.26614827,38.70646118,41.56601396,34.93559655
Myanmar,MMR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,..,..,3.711036796,3.809150256,3.5790302,3.502313454
Myanmar,MMR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.487204548,0.717919003,0.974001217,1.143820373,2.375550859,7.064027247,12.82858801,54.03928721,76.67284749
Myanmar,MMR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,65.8,87.2,61.4,59.3,57.2,55.3,53.5,51.7,50
Myanmar,MMR,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,110.7047957,121.7938054,117.1197026,109.8288318,106.8683389,113.1980297,112.2713419,112.5494773,111.9201303
Myanmar,MMR,Net migration,SM.POP.NETM,-1466799,..,..,..,..,-474278,..,..,..
Myanmar,MMR,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,195890000,534460000,355830000,354790000,380050000,504220000,3934840000,1380080000,..
Myanmar,MMR,Overall level of statistical capacity (scale 0 - 100),IQ.SCI.OVRL,57.77777778,57.77777778,48.88888889,52.22222222,51.11111111,48.88888889,50,46.66666667,55.55553333
Myanmar,MMR,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,81009057.89,54744020.17,54472032.22,114854849.3,127075981.1,274616061.7,1643883378,278963786.1,386783517.9
Myanmar,MMR,Population density (people per sq. km of land area),EN.POP.DNST,77.57806035,78.10994168,78.63114189,79.19207207,79.78908448,80.44682079,81.12915569,81.8232973,82.52764439
Myanmar,MMR,Population growth (annual %),SP.POP.GROW,0.67934976,0.651129484,0.663517849,0.704713591,0.755643793,0.799532281,0.8338866,0.85196116,0.857130965
Myanmar,MMR,"Population, total",SP.POP.TOTL,50698814,51030006,51369725,51733013,52125411,52543841,52983829,53437159,53897154
Myanmar,MMR,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Myanmar,MMR,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..
Myanmar,MMR,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8
Myanmar,MMR,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,22.60000038,..,..,..,..,..,..
Myanmar,MMR,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,85.04553986,85.74517822,84.40368652,84.35032654,..,..,..,85.07289886,..
Myanmar,MMR,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,..,..,..,..,..,..,..,..,..
Myanmar,MMR,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,..,0.994229972,1.010900021,..,..,..,0.992060006,..
Myanmar,MMR,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,36.26810433,37.05908894,37.35987429,36.67885997,36.21216867,37.0367795,38.10405504,37.68069236,38.70652557
Myanmar,MMR,Surface area (sq. km),AG.SRF.TOTL.K2,676590,676590,676590,676590,676590,676590,676590,676590,676590
Myanmar,MMR,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..
Myanmar,MMR,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,..,..,4.07,..
Myanmar,MMR,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,76,76,76,15
Myanmar,MMR,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,0.14498947,0.093477179,0.099159559,0.046602622,0.023019267,9.680367375,0.541620501,0.461182064,0.538227647
Myanmar,MMR,Urban population growth (annual %),SP.URB.GROW,2.296233725,2.304883535,2.355152075,2.387314617,2.429189241,2.457853952,2.477269758,2.486663364,2.474340736
Myanmar,MMR,"2005 PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP.05,..,..,..,..,..,..,..,..,..
Myanmar,MMR,"2005 PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP.05,..,..,..,..,..,..,..,..,..
Myanmar,MMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,48.8,..,52.36256,..,..,..
Myanmar,MMR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,..,..,..,28.4,..,31.1546,..,..,..
Myanmar,MMR,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,..,..,..,91.98507621,..,94.9920792,..,..,..
Myanmar,MMR,Access to non-solid fuel (% of population),EG.NSF.ACCS.ZS,..,..,..,7.003670931,..,7.322579622,..,..,..
Myanmar,MMR,"Access to non-solid fuel, rural (% of rural population)",EG.NSF.ACCS.RU.ZS,..,..,..,2.003157139,..,2.022832632,..,..,..
Myanmar,MMR,"Access to non-solid fuel, urban (% of urban population)",EG.NSF.ACCS.UR.ZS,..,..,..,17.58933609,..,17.97545081,..,..,..
Myanmar,MMR,Account at a financial institution (% age 15+) [ts],WP_time_01.1,..,..,..,..,..,..,..,22.6204,..
Myanmar,MMR,"Account at a financial institution, female (% age 15+) [ts]",WP_time_01.3,..,..,..,..,..,..,..,17.08471,..
Myanmar,MMR,"Account at a financial institution, income, poorest 40% (% ages 15+) [ts]",WP_time_01.8,..,..,..,..,..,..,..,16.06929,..
Myanmar,MMR,"Account at a financial institution, income, richest 60% (% ages 15+) [ts]",WP_time_01.9,..,..,..,..,..,..,..,26.98079,..
Myanmar,MMR,"Account at a financial institution, male (% age 15+) [ts]",WP_time_01.2,..,..,..,..,..,..,..,28.59667,..
Myanmar,MMR,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,..,..,..,..,..,..,..,..,..
Myanmar,MMR,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,..,..,..,..,..,..,..,..,..
Myanmar,MMR,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,..,..,..,..,..,..,..,..,..
Myanmar,MMR,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,..,..,..,..,..,..,..,..,..
Myanmar,MMR,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,..,89.04151917,87.2852478,87.25061035,..,..,..,..,..
Myanmar,MMR,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,..,89.71504974,88.86849976,88.23856354,..,..,..,..,..
Myanmar,MMR,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,88.81719971,89.37989044,88.08097839,87.74733734,..,..,..,94.52787781,..
Myanmar,MMR,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..,..,..,-17.63764599,..,..
Myanmar,MMR,Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,..,..,..,..,..,..,..,..,..
Myanmar,MMR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..,..,..,..,70036162627,53524685602,..,..
Myanmar,MMR,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..,..,..,-18.32159897,..,..
Myanmar,MMR,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..,..
Myanmar,MMR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..,..,1332.909077,1010.207956,..,..
Myanmar,MMR,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,..,..,..,..,..,..,..,..,..
Myanmar,MMR,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,..,..,..,..,..,..,..,..,..
Myanmar,MMR,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,..,..,..,..,..,..,..,..,..
Myanmar,MMR,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,..,..,..,..,..,..,..,..,..
